date,retailer,category,sales_qty,price,promotion
2024-07-05,local,Apparels & Innerwear,78,111.82,0
2024-07-06,dmart,Stationery & Books,124,401.1,0
2024-07-06,dmart,Ready-to-Eat & Instant Food,61,497.46,0
2024-07-06,dmart,Groceries & Staples,116,228.68,0
2024-07-06,dmart,Beverages & Cold Drinks,144,387.7,1
2024-07-06,dmart,Personal Care,41,217.21,0
2024-07-06,dmart,Apparels & Innerwear,92,430.9,0
2024-07-06,vmart,Stationery & Books,80,465.87,0
2024-07-06,vmart,Ready-to-Eat & Instant Food,78,217.89,1
2024-07-06,vmart,Groceries & Staples,65,96.25,0
2024-07-06,vmart,Beverages & Cold Drinks,97,202.04,1
2024-07-06,vmart,Personal Care,114,373.89,0
2024-07-06,vmart,Apparels & Innerwear,108,400.39,0
2024-07-06,local,Stationery & Books,170,372.3,1
2024-07-06,local,Ready-to-Eat & Instant Food,110,195.02,0
2024-07-06,local,Groceries & Staples,115,456.01,0
2024-07-06,local,Beverages & Cold Drinks,66,97.14,1
2024-07-06,local,Personal Care,64,351.42,0
2024-07-06,local,Apparels & Innerwear,100,299.63,0
2024-07-07,dmart,Stationery & Books,133,340.94,1
2024-07-07,dmart,Ready-to-Eat & Instant Food,82,143.79,0
2024-07-07,dmart,Groceries & Staples,75,264.22,0
2024-07-07,dmart,Beverages & Cold Drinks,81,294.96,0
2024-07-07,dmart,Personal Care,107,390.86,0
2024-07-07,dmart,Apparels & Innerwear,124,308.41,0
2024-07-07,vmart,Stationery & Books,89,369.41,0
2024-07-07,vmart,Ready-to-Eat & Instant Food,56,266.6,0
2024-07-07,vmart,Groceries & Staples,39,139.28,0
2024-07-07,vmart,Beverages & Cold Drinks,65,349.06,0
2024-07-07,vmart,Personal Care,45,429.78,0
2024-07-07,vmart,Apparels & Innerwear,142,144.69,0
2024-07-07,local,Stationery & Books,95,100.56,0
2024-07-07,local,Ready-to-Eat & Instant Food,209,221.34,1
2024-07-07,local,Groceries & Staples,124,332.96,0
2024-07-07,local,Beverages & Cold Drinks,48,77.14,0
2024-07-07,local,Personal Care,91,235.72,0
2024-07-07,local,Apparels & Innerwear,60,126.18,0
2024-07-08,dmart,Stationery & Books,63,183.79,1
2024-07-08,dmart,Ready-to-Eat & Instant Food,25,73.48,0
2024-07-08,dmart,Groceries & Staples,92,486.88,0
2024-07-08,dmart,Beverages & Cold Drinks,67,212.03,0
2024-07-08,dmart,Personal Care,30,237.21,0
2024-07-08,dmart,Apparels & Innerwear,37,118.22,0
2024-07-08,vmart,Stationery & Books,59,366.26,0
2024-07-08,vmart,Ready-to-Eat & Instant Food,62,276.66,1
2024-07-08,vmart,Groceries & Staples,39,201.84,0
2024-07-08,vmart,Beverages & Cold Drinks,36,478.46,0
2024-07-08,vmart,Personal Care,88,418.71,0
2024-07-08,vmart,Apparels & Innerwear,90,331.02,0
2024-07-08,local,Stationery & Books,52,232.52,0
2024-07-08,local,Ready-to-Eat & Instant Food,83,213.46,0
2024-07-08,local,Groceries & Staples,34,498.57,0
2024-07-08,local,Beverages & Cold Drinks,41,170.9,1
2024-07-08,local,Personal Care,70,253.89,1
2024-07-08,local,Apparels & Innerwear,25,160.14,0
2024-07-09,dmart,Stationery & Books,87,496.0,0
2024-07-09,dmart,Ready-to-Eat & Instant Food,64,499.26,0
2024-07-09,dmart,Groceries & Staples,72,58.42,0
2024-07-09,dmart,Beverages & Cold Drinks,78,303.07,0
2024-07-09,dmart,Personal Care,33,451.42,0
2024-07-09,dmart,Apparels & Innerwear,73,469.1,0
2024-07-09,vmart,Stationery & Books,31,79.74,1
2024-07-09,vmart,Ready-to-Eat & Instant Food,60,210.7,0
2024-07-09,vmart,Groceries & Staples,40,129.11,0
2024-07-09,vmart,Beverages & Cold Drinks,33,314.07,0
2024-07-09,vmart,Personal Care,44,364.57,0
2024-07-09,vmart,Apparels & Innerwear,64,207.84,0
2024-07-09,local,Stationery & Books,101,167.79,1
2024-07-09,local,Ready-to-Eat & Instant Food,94,320.89,0
2024-07-09,local,Groceries & Staples,48,492.44,0
2024-07-09,local,Beverages & Cold Drinks,38,188.89,0
2024-07-09,local,Personal Care,58,481.01,0
2024-07-09,local,Apparels & Innerwear,62,327.21,0
2024-07-10,dmart,Stationery & Books,80,102.71,0
2024-07-10,dmart,Ready-to-Eat & Instant Food,59,130.63,0
2024-07-10,dmart,Groceries & Staples,158,136.72,1
2024-07-10,dmart,Beverages & Cold Drinks,89,467.21,0
2024-07-10,dmart,Personal Care,67,64.98,0
2024-07-10,dmart,Apparels & Innerwear,64,416.9,0
2024-07-10,vmart,Stationery & Books,34,146.74,0
2024-07-10,vmart,Ready-to-Eat & Instant Food,54,108.98,0
2024-07-10,vmart,Groceries & Staples,72,226.8,1
2024-07-10,vmart,Beverages & Cold Drinks,67,266.13,0
2024-07-10,vmart,Personal Care,48,401.15,0
2024-07-10,vmart,Apparels & Innerwear,94,186.65,0
2024-07-10,local,Stationery & Books,75,347.31,1
2024-07-10,local,Ready-to-Eat & Instant Food,109,55.62,0
2024-07-10,local,Groceries & Staples,42,112.73,0
2024-07-10,local,Beverages & Cold Drinks,63,173.95,0
2024-07-10,local,Personal Care,31,445.98,0
2024-07-10,local,Apparels & Innerwear,34,69.17,0
2024-07-11,dmart,Stationery & Books,58,110.81,0
2024-07-11,dmart,Ready-to-Eat & Instant Food,69,145.32,0
2024-07-11,dmart,Groceries & Staples,124,231.53,0
2024-07-11,dmart,Beverages & Cold Drinks,59,235.41,0
2024-07-11,dmart,Personal Care,65,418.63,0
2024-07-11,dmart,Apparels & Innerwear,37,165.59,0
2024-07-11,vmart,Stationery & Books,64,80.17,0
2024-07-11,vmart,Ready-to-Eat & Instant Food,54,450.17,0
2024-07-11,vmart,Groceries & Staples,78,95.06,1
2024-07-11,vmart,Beverages & Cold Drinks,91,212.51,0
2024-07-11,vmart,Personal Care,40,340.11,0
2024-07-11,vmart,Apparels & Innerwear,133,103.84,1
2024-07-11,local,Stationery & Books,85,486.88,0
2024-07-11,local,Ready-to-Eat & Instant Food,104,285.88,0
2024-07-11,local,Groceries & Staples,35,365.38,0
2024-07-11,local,Beverages & Cold Drinks,34,91.39,0
2024-07-11,local,Personal Care,67,53.43,0
2024-07-11,local,Apparels & Innerwear,63,284.42,0
2024-07-12,dmart,Stationery & Books,45,477.91,0
2024-07-12,dmart,Ready-to-Eat & Instant Food,76,50.06,0
2024-07-12,dmart,Groceries & Staples,74,399.56,0
2024-07-12,dmart,Beverages & Cold Drinks,54,265.25,0
2024-07-12,dmart,Personal Care,51,240.94,0
2024-07-12,dmart,Apparels & Innerwear,68,85.12,0
2024-07-12,vmart,Stationery & Books,42,416.68,0
2024-07-12,vmart,Ready-to-Eat & Instant Food,39,189.87,0
2024-07-12,vmart,Groceries & Staples,80,257.41,0
2024-07-12,vmart,Beverages & Cold Drinks,97,92.89,1
2024-07-12,vmart,Personal Care,64,218.52,0
2024-07-12,vmart,Apparels & Innerwear,102,251.27,0
2024-07-12,local,Stationery & Books,62,332.04,1
2024-07-12,local,Ready-to-Eat & Instant Food,113,71.33,0
2024-07-12,local,Groceries & Staples,66,361.46,0
2024-07-12,local,Beverages & Cold Drinks,65,317.37,0
2024-07-12,local,Personal Care,62,485.23,0
2024-07-12,local,Apparels & Innerwear,58,229.1,0
2024-07-13,dmart,Stationery & Books,73,105.89,0
2024-07-13,dmart,Ready-to-Eat & Instant Food,107,161.21,0
2024-07-13,dmart,Groceries & Staples,135,55.86,0
2024-07-13,dmart,Beverages & Cold Drinks,83,345.52,0
2024-07-13,dmart,Personal Care,44,310.85,0
2024-07-13,dmart,Apparels & Innerwear,95,441.91,0
2024-07-13,vmart,Stationery & Books,85,172.84,0
2024-07-13,vmart,Ready-to-Eat & Instant Food,74,188.7,0
2024-07-13,vmart,Groceries & Staples,50,220.61,0
2024-07-13,vmart,Beverages & Cold Drinks,118,161.02,0
2024-07-13,vmart,Personal Care,80,128.9,0
2024-07-13,vmart,Apparels & Innerwear,174,261.59,0
2024-07-13,local,Stationery & Books,116,209.67,0
2024-07-13,local,Ready-to-Eat & Instant Food,130,401.48,0
2024-07-13,local,Groceries & Staples,70,224.67,1
2024-07-13,local,Beverages & Cold Drinks,123,327.38,1
2024-07-13,local,Personal Care,52,119.6,0
2024-07-13,local,Apparels & Innerwear,120,367.46,0
2024-07-14,dmart,Stationery & Books,46,448.37,0
2024-07-14,dmart,Ready-to-Eat & Instant Food,55,416.89,0
2024-07-14,dmart,Groceries & Staples,124,258.57,0
2024-07-14,dmart,Beverages & Cold Drinks,121,61.85,0
2024-07-14,dmart,Personal Care,84,276.86,0
2024-07-14,dmart,Apparels & Innerwear,102,47.22,1
2024-07-14,vmart,Stationery & Books,91,158.88,0
2024-07-14,vmart,Ready-to-Eat & Instant Food,69,86.47,0
2024-07-14,vmart,Groceries & Staples,111,493.47,0
2024-07-14,vmart,Beverages & Cold Drinks,85,182.06,1
2024-07-14,vmart,Personal Care,48,493.31,0
2024-07-14,vmart,Apparels & Innerwear,146,210.53,0
2024-07-14,local,Stationery & Books,105,498.82,0
2024-07-14,local,Ready-to-Eat & Instant Food,138,128.31,0
2024-07-14,local,Groceries & Staples,106,398.62,1
2024-07-14,local,Beverages & Cold Drinks,130,275.04,0
2024-07-14,local,Personal Care,102,355.85,0
2024-07-14,local,Apparels & Innerwear,88,257.16,1
2024-07-15,dmart,Stationery & Books,84,52.03,0
2024-07-15,dmart,Ready-to-Eat & Instant Food,52,407.31,0
2024-07-15,dmart,Groceries & Staples,75,373.09,0
2024-07-15,dmart,Beverages & Cold Drinks,92,353.4,0
2024-07-15,dmart,Personal Care,61,365.96,0
2024-07-15,dmart,Apparels & Innerwear,64,311.97,0
2024-07-15,vmart,Stationery & Books,70,380.84,0
2024-07-15,vmart,Ready-to-Eat & Instant Food,82,415.42,0
2024-07-15,vmart,Groceries & Staples,36,224.2,0
2024-07-15,vmart,Beverages & Cold Drinks,59,310.54,0
2024-07-15,vmart,Personal Care,87,421.2,0
2024-07-15,vmart,Apparels & Innerwear,74,231.7,0
2024-07-15,local,Stationery & Books,57,457.01,0
2024-07-15,local,Ready-to-Eat & Instant Food,136,279.76,1
2024-07-15,local,Groceries & Staples,50,113.62,1
2024-07-15,local,Beverages & Cold Drinks,50,446.45,0
2024-07-15,local,Personal Care,57,287.75,0
2024-07-15,local,Apparels & Innerwear,63,192.58,0
2024-07-16,dmart,Stationery & Books,68,333.16,0
2024-07-16,dmart,Ready-to-Eat & Instant Food,43,426.5,0
2024-07-16,dmart,Groceries & Staples,60,363.93,0
2024-07-16,dmart,Beverages & Cold Drinks,63,384.24,0
2024-07-16,dmart,Personal Care,46,347.52,0
2024-07-16,dmart,Apparels & Innerwear,61,469.52,0
2024-07-16,vmart,Stationery & Books,79,204.48,0
2024-07-16,vmart,Ready-to-Eat & Instant Food,46,155.95,0
2024-07-16,vmart,Groceries & Staples,47,71.04,0
2024-07-16,vmart,Beverages & Cold Drinks,55,499.04,0
2024-07-16,vmart,Personal Care,48,337.41,0
2024-07-16,vmart,Apparels & Innerwear,68,462.85,0
2024-07-16,local,Stationery & Books,102,103.44,0
2024-07-16,local,Ready-to-Eat & Instant Food,119,342.81,0
2024-07-16,local,Groceries & Staples,51,364.18,0
2024-07-16,local,Beverages & Cold Drinks,33,126.16,0
2024-07-16,local,Personal Care,44,256.44,0
2024-07-16,local,Apparels & Innerwear,44,116.6,0
2024-07-17,dmart,Stationery & Books,43,167.47,0
2024-07-17,dmart,Ready-to-Eat & Instant Food,31,393.67,0
2024-07-17,dmart,Groceries & Staples,76,90.76,0
2024-07-17,dmart,Beverages & Cold Drinks,89,459.8,0
2024-07-17,dmart,Personal Care,87,90.1,1
2024-07-17,dmart,Apparels & Innerwear,72,351.01,0
2024-07-17,vmart,Stationery & Books,64,440.18,0
2024-07-17,vmart,Ready-to-Eat & Instant Food,30,273.98,0
2024-07-17,vmart,Groceries & Staples,28,232.42,0
2024-07-17,vmart,Beverages & Cold Drinks,42,256.74,0
2024-07-17,vmart,Personal Care,44,328.82,0
2024-07-17,vmart,Apparels & Innerwear,74,419.98,0
2024-07-17,local,Stationery & Books,94,82.68,1
2024-07-17,local,Ready-to-Eat & Instant Food,59,282.69,0
2024-07-17,local,Groceries & Staples,42,450.84,0
2024-07-17,local,Beverages & Cold Drinks,63,461.32,0
2024-07-17,local,Personal Care,75,99.94,0
2024-07-17,local,Apparels & Innerwear,41,272.25,1
2024-07-18,dmart,Stationery & Books,31,455.05,0
2024-07-18,dmart,Ready-to-Eat & Instant Food,43,364.26,0
2024-07-18,dmart,Groceries & Staples,108,139.48,0
2024-07-18,dmart,Beverages & Cold Drinks,74,53.68,0
2024-07-18,dmart,Personal Care,37,404.87,0
2024-07-18,dmart,Apparels & Innerwear,72,130.71,0
2024-07-18,vmart,Stationery & Books,79,388.97,0
2024-07-18,vmart,Ready-to-Eat & Instant Food,40,396.76,0
2024-07-18,vmart,Groceries & Staples,29,353.14,0
2024-07-18,vmart,Beverages & Cold Drinks,87,191.85,0
2024-07-18,vmart,Personal Care,65,255.3,0
2024-07-18,vmart,Apparels & Innerwear,83,477.47,0
2024-07-18,local,Stationery & Books,92,213.47,0
2024-07-18,local,Ready-to-Eat & Instant Food,113,256.66,0
2024-07-18,local,Groceries & Staples,83,72.19,0
2024-07-18,local,Beverages & Cold Drinks,48,280.97,0
2024-07-18,local,Personal Care,69,295.86,0
2024-07-18,local,Apparels & Innerwear,53,483.28,0
2024-07-19,dmart,Stationery & Books,31,292.62,0
2024-07-19,dmart,Ready-to-Eat & Instant Food,48,128.75,0
2024-07-19,dmart,Groceries & Staples,63,414.74,0
2024-07-19,dmart,Beverages & Cold Drinks,69,72.66,0
2024-07-19,dmart,Personal Care,65,262.89,1
2024-07-19,dmart,Apparels & Innerwear,70,64.25,0
2024-07-19,vmart,Stationery & Books,69,154.38,0
2024-07-19,vmart,Ready-to-Eat & Instant Food,64,243.01,0
2024-07-19,vmart,Groceries & Staples,40,430.61,0
2024-07-19,vmart,Beverages & Cold Drinks,40,196.65,0
2024-07-19,vmart,Personal Care,67,379.29,0
2024-07-19,vmart,Apparels & Innerwear,93,373.73,0
2024-07-19,local,Stationery & Books,81,299.44,0
2024-07-19,local,Ready-to-Eat & Instant Food,80,191.29,0
2024-07-19,local,Groceries & Staples,36,81.99,0
2024-07-19,local,Beverages & Cold Drinks,29,447.59,0
2024-07-19,local,Personal Care,67,295.97,0
2024-07-19,local,Apparels & Innerwear,44,370.38,0
2024-07-20,dmart,Stationery & Books,98,225.65,0
2024-07-20,dmart,Ready-to-Eat & Instant Food,85,400.61,0
2024-07-20,dmart,Groceries & Staples,112,372.87,0
2024-07-20,dmart,Beverages & Cold Drinks,142,362.46,0
2024-07-20,dmart,Personal Care,84,221.9,0
2024-07-20,dmart,Apparels & Innerwear,78,141.43,1
2024-07-20,vmart,Stationery & Books,102,158.73,0
2024-07-20,vmart,Ready-to-Eat & Instant Food,107,85.14,1
2024-07-20,vmart,Groceries & Staples,110,374.6,1
2024-07-20,vmart,Beverages & Cold Drinks,103,286.74,0
2024-07-20,vmart,Personal Care,38,477.21,0
2024-07-20,vmart,Apparels & Innerwear,175,75.77,0
2024-07-20,local,Stationery & Books,109,191.16,0
2024-07-20,local,Ready-to-Eat & Instant Food,102,162.13,0
2024-07-20,local,Groceries & Staples,99,340.18,0
2024-07-20,local,Beverages & Cold Drinks,63,335.8,0
2024-07-20,local,Personal Care,60,147.32,0
2024-07-20,local,Apparels & Innerwear,80,197.62,0
2024-07-21,dmart,Stationery & Books,89,200.26,0
2024-07-21,dmart,Ready-to-Eat & Instant Food,84,120.26,1
2024-07-21,dmart,Groceries & Staples,116,432.08,0
2024-07-21,dmart,Beverages & Cold Drinks,118,148.31,0
2024-07-21,dmart,Personal Care,72,446.14,0
2024-07-21,dmart,Apparels & Innerwear,75,191.45,0
2024-07-21,vmart,Stationery & Books,43,330.65,0
2024-07-21,vmart,Ready-to-Eat & Instant Food,78,200.54,0
2024-07-21,vmart,Groceries & Staples,46,199.72,0
2024-07-21,vmart,Beverages & Cold Drinks,38,291.05,0
2024-07-21,vmart,Personal Care,92,165.5,0
2024-07-21,vmart,Apparels & Innerwear,124,255.96,0
2024-07-21,local,Stationery & Books,79,171.6,0
2024-07-21,local,Ready-to-Eat & Instant Food,189,292.39,1
2024-07-21,local,Groceries & Staples,58,103.18,0
2024-07-21,local,Beverages & Cold Drinks,92,245.43,0
2024-07-21,local,Personal Care,107,347.62,0
2024-07-21,local,Apparels & Innerwear,91,78.24,0
2024-07-22,dmart,Stationery & Books,66,125.87,0
2024-07-22,dmart,Ready-to-Eat & Instant Food,52,136.92,0
2024-07-22,dmart,Groceries & Staples,85,197.51,0
2024-07-22,dmart,Beverages & Cold Drinks,98,99.82,1
2024-07-22,dmart,Personal Care,30,55.31,0
2024-07-22,dmart,Apparels & Innerwear,73,453.89,0
2024-07-22,vmart,Stationery & Books,73,317.78,0
2024-07-22,vmart,Ready-to-Eat & Instant Food,45,112.87,0
2024-07-22,vmart,Groceries & Staples,96,276.95,1
2024-07-22,vmart,Beverages & Cold Drinks,38,222.9,0
2024-07-22,vmart,Personal Care,83,385.08,0
2024-07-22,vmart,Apparels & Innerwear,138,118.53,0
2024-07-22,local,Stationery & Books,71,71.15,0
2024-07-22,local,Ready-to-Eat & Instant Food,76,349.88,0
2024-07-22,local,Groceries & Staples,63,308.58,1
2024-07-22,local,Beverages & Cold Drinks,60,364.13,0
2024-07-22,local,Personal Care,48,382.36,0
2024-07-22,local,Apparels & Innerwear,56,202.88,0
2024-07-23,dmart,Stationery & Books,109,165.36,1
2024-07-23,dmart,Ready-to-Eat & Instant Food,45,107.78,0
2024-07-23,dmart,Groceries & Staples,106,318.93,0
2024-07-23,dmart,Beverages & Cold Drinks,61,83.71,0
2024-07-23,dmart,Personal Care,26,61.3,0
2024-07-23,dmart,Apparels & Innerwear,53,450.84,0
2024-07-23,vmart,Stationery & Books,32,179.38,0
2024-07-23,vmart,Ready-to-Eat & Instant Food,45,75.77,0
2024-07-23,vmart,Groceries & Staples,48,152.49,0
2024-07-23,vmart,Beverages & Cold Drinks,85,63.39,0
2024-07-23,vmart,Personal Care,72,57.21,0
2024-07-23,vmart,Apparels & Innerwear,101,407.72,0
2024-07-23,local,Stationery & Books,59,486.21,0
2024-07-23,local,Ready-to-Eat & Instant Food,92,96.09,0
2024-07-23,local,Groceries & Staples,57,292.38,0
2024-07-23,local,Beverages & Cold Drinks,56,409.22,0
2024-07-23,local,Personal Care,65,46.04,1
2024-07-23,local,Apparels & Innerwear,72,219.73,0
2024-07-24,dmart,Stationery & Books,33,190.97,0
2024-07-24,dmart,Ready-to-Eat & Instant Food,76,65.97,0
2024-07-24,dmart,Groceries & Staples,66,198.68,0
2024-07-24,dmart,Beverages & Cold Drinks,94,104.6,0
2024-07-24,dmart,Personal Care,32,192.6,0
2024-07-24,dmart,Apparels & Innerwear,73,413.8,0
2024-07-24,vmart,Stationery & Books,89,69.67,0
2024-07-24,vmart,Ready-to-Eat & Instant Food,64,176.13,0
2024-07-24,vmart,Groceries & Staples,57,208.85,0
2024-07-24,vmart,Beverages & Cold Drinks,67,152.52,0
2024-07-24,vmart,Personal Care,43,148.81,0
2024-07-24,vmart,Apparels & Innerwear,103,112.21,0
2024-07-24,local,Stationery & Books,77,472.76,0
2024-07-24,local,Ready-to-Eat & Instant Food,78,322.03,0
2024-07-24,local,Groceries & Staples,47,270.33,0
2024-07-24,local,Beverages & Cold Drinks,67,324.21,0
2024-07-24,local,Personal Care,37,131.47,0
2024-07-24,local,Apparels & Innerwear,63,444.91,0
2024-07-25,dmart,Stationery & Books,59,497.79,0
2024-07-25,dmart,Ready-to-Eat & Instant Food,65,139.74,0
2024-07-25,dmart,Groceries & Staples,81,193.03,0
2024-07-25,dmart,Beverages & Cold Drinks,63,216.92,0
2024-07-25,dmart,Personal Care,54,197.27,0
2024-07-25,dmart,Apparels & Innerwear,70,273.02,1
2024-07-25,vmart,Stationery & Books,73,263.71,0
2024-07-25,vmart,Ready-to-Eat & Instant Food,61,425.02,0
2024-07-25,vmart,Groceries & Staples,43,312.85,0
2024-07-25,vmart,Beverages & Cold Drinks,52,449.14,0
2024-07-25,vmart,Personal Care,61,445.7,0
2024-07-25,vmart,Apparels & Innerwear,96,418.32,0
2024-07-25,local,Stationery & Books,87,405.12,0
2024-07-25,local,Ready-to-Eat & Instant Food,65,263.51,0
2024-07-25,local,Groceries & Staples,35,225.53,0
2024-07-25,local,Beverages & Cold Drinks,41,59.76,0
2024-07-25,local,Personal Care,47,224.72,0
2024-07-25,local,Apparels & Innerwear,40,336.73,1
2024-07-26,dmart,Stationery & Books,40,357.22,0
2024-07-26,dmart,Ready-to-Eat & Instant Food,40,181.22,0
2024-07-26,dmart,Groceries & Staples,81,94.26,0
2024-07-26,dmart,Beverages & Cold Drinks,104,421.68,0
2024-07-26,dmart,Personal Care,40,314.39,0
2024-07-26,dmart,Apparels & Innerwear,73,389.68,0
2024-07-26,vmart,Stationery & Books,28,413.64,0
2024-07-26,vmart,Ready-to-Eat & Instant Food,71,162.05,1
2024-07-26,vmart,Groceries & Staples,75,94.18,0
2024-07-26,vmart,Beverages & Cold Drinks,60,269.21,0
2024-07-26,vmart,Personal Care,59,101.0,0
2024-07-26,vmart,Apparels & Innerwear,75,267.53,0
2024-07-26,local,Stationery & Books,64,271.49,0
2024-07-26,local,Ready-to-Eat & Instant Food,65,499.48,0
2024-07-26,local,Groceries & Staples,76,298.03,0
2024-07-26,local,Beverages & Cold Drinks,37,489.2,0
2024-07-26,local,Personal Care,89,329.79,0
2024-07-26,local,Apparels & Innerwear,74,197.11,0
2024-07-27,dmart,Stationery & Books,70,438.03,0
2024-07-27,dmart,Ready-to-Eat & Instant Food,50,398.45,0
2024-07-27,dmart,Groceries & Staples,150,147.23,0
2024-07-27,dmart,Beverages & Cold Drinks,141,428.0,0
2024-07-27,dmart,Personal Care,47,201.86,0
2024-07-27,dmart,Apparels & Innerwear,84,202.57,0
2024-07-27,vmart,Stationery & Books,54,300.9,0
2024-07-27,vmart,Ready-to-Eat & Instant Food,68,433.62,0
2024-07-27,vmart,Groceries & Staples,108,134.26,0
2024-07-27,vmart,Beverages & Cold Drinks,76,236.49,0
2024-07-27,vmart,Personal Care,116,215.2,0
2024-07-27,vmart,Apparels & Innerwear,157,299.76,0
2024-07-27,local,Stationery & Books,153,484.99,0
2024-07-27,local,Ready-to-Eat & Instant Food,123,353.63,0
2024-07-27,local,Groceries & Staples,63,41.96,1
2024-07-27,local,Beverages & Cold Drinks,60,105.13,0
2024-07-27,local,Personal Care,86,150.38,0
2024-07-27,local,Apparels & Innerwear,59,296.67,0
2024-07-28,dmart,Stationery & Books,71,424.73,0
2024-07-28,dmart,Ready-to-Eat & Instant Food,86,467.05,0
2024-07-28,dmart,Groceries & Staples,168,105.8,0
2024-07-28,dmart,Beverages & Cold Drinks,124,227.86,0
2024-07-28,dmart,Personal Care,81,257.62,1
2024-07-28,dmart,Apparels & Innerwear,77,284.54,0
2024-07-28,vmart,Stationery & Books,85,149.34,0
2024-07-28,vmart,Ready-to-Eat & Instant Food,58,123.64,0
2024-07-28,vmart,Groceries & Staples,76,242.24,0
2024-07-28,vmart,Beverages & Cold Drinks,97,64.68,0
2024-07-28,vmart,Personal Care,59,236.13,0
2024-07-28,vmart,Apparels & Innerwear,119,475.41,0
2024-07-28,local,Stationery & Books,115,179.64,0
2024-07-28,local,Ready-to-Eat & Instant Food,144,310.53,0
2024-07-28,local,Groceries & Staples,51,466.82,0
2024-07-28,local,Beverages & Cold Drinks,40,252.99,0
2024-07-28,local,Personal Care,58,126.59,1
2024-07-28,local,Apparels & Innerwear,99,381.27,0
2024-07-29,dmart,Stationery & Books,64,271.07,0
2024-07-29,dmart,Ready-to-Eat & Instant Food,34,364.78,0
2024-07-29,dmart,Groceries & Staples,96,360.51,0
2024-07-29,dmart,Beverages & Cold Drinks,55,378.38,0
2024-07-29,dmart,Personal Care,73,407.8,0
2024-07-29,dmart,Apparels & Innerwear,54,334.81,0
2024-07-29,vmart,Stationery & Books,73,134.54,0
2024-07-29,vmart,Ready-to-Eat & Instant Food,35,228.61,0
2024-07-29,vmart,Groceries & Staples,26,220.06,0
2024-07-29,vmart,Beverages & Cold Drinks,36,117.5,1
2024-07-29,vmart,Personal Care,60,448.79,0
2024-07-29,vmart,Apparels & Innerwear,72,489.76,0
2024-07-29,local,Stationery & Books,92,151.78,0
2024-07-29,local,Ready-to-Eat & Instant Food,95,116.55,0
2024-07-29,local,Groceries & Staples,40,171.33,0
